geo,TIME_PERIOD,OBS_VALUE,pred_cost
LU,2010,1.8,3.1
LU,2011,3.1,3.1
LU,2011,3.1,3.3
LU,2011,3.3,1.9
LU,2012,1.9,1.9
LU,2012,1.9,1.9
LU,2012,2.0,0.7
LU,2013,0.7,0.7
LU,2013,0.7,0.7
LU,2013,0.7,0.6
LU,2014,0.6,0.6
LU,2014,0.6,0.6
LU,2014,0.7,0.9
LU,2015,0.9,0.9
LU,2015,0.9,0.9
LU,2015,0.9,0.8
LU,2016,0.8,1.0
LU,2016,0.8,1.0
LU,2016,1.1,2.5
LU,2017,2.5,2.5
LU,2017,2.5,2.3
LU,2017,2.6,2.0
LU,2018,2.9,3.8
LU,2018,2.9,3.5
LU,2018,2.9,2.1
LU,2019,1.8,1.8
LU,2019,1.8,1.8
LU,2019,2.0,1.7
LU,2020,1.4,2.3
LU,2020,1.4,2.3
LU,2020,1.4,3.1
LU,2021,6.3,3.4
LU,2021,6.3,2.8
LU,2021,6.5,2.8
LU,2022,12.1,6.5
LU,2022,12.1,6.8
LU,2022,12.4,8.4
LU,2023,3.3,2.3
LU,2023,3.3,2.5
LV,2002,1.3,5.0
LV,2003,6.3,7.7
LV,2004,8.8,7.0
LV,2005,11.9,27.9
LV,2006,36.5,17.7
LV,2007,22.5,7.7
LV,2008,8.7,-4.0
LV,2009,-7.8,-4.3
LV,2010,-7.4,0.5
LV,2011,2.5,2.8
LV,2012,3.2,3.5
LV,2013,4.0,1.9
LV,2014,0.7,2.9
LV,2015,3.4,4.7
LV,2016,5.7,2.9
LV,2017,2.4,2.1
LV,2018,4.5,4.5
LV,2019,4.8,3.8
LV,2020,7.3,4.6
LV,2021,6.8,2.5
LV,2022,13.3,7.4
LV,2023,4.7,-0.4
MK,2007,2.4,4.3
MK,2008,4.7,5.2
MK,2009,5.9,0.7
MK,2010,-2.3,3.5
MK,2011,5.2,1.5
MK,2012,1.7,2.0
MK,2013,1.9,0.6
MK,2014,-0.4,-0.6
MK,2015,-1.6,-1.6
MK,2016,-2.4,2.6
MK,2017,5.0,3.8
MK,2018,6.0,4.6
MK,2019,2.6,2.1
MK,2020,1.1,3.0
MK,2021,13.1,7.8
MK,2022,23.7,25.3
MK,2023,9.4,-4.9
MT,2002,4.9,2.9
MT,2003,2.3,1.0
MT,2004,0.5,0.4
MT,2005,1.4,2.1
MT,2006,1.3,6.9
MT,2007,10.4,8.4
MT,2008,2.4,1.5
MT,2009,1.6,-0.3
MT,2010,-2.4,1.6
MT,2011,1.4,2.2
MT,2012,2.3,1.8
MT,2013,1.5,2.4
MT,2014,2.5,1.7
MT,2015,1.1,1.9
MT,2016,2.3,1.9
MT,2017,1.6,1.9
MT,2018,1.2,3.0
MT,2019,1.0,1.3
MT,2020,0.3,0.5
MT,2021,12.5,25.6
MT,2022,19.1,24.8
MT,2023,-0.3,1.3
NL,2002,3.0,1.8
NL,2003,1.3,2.0
NL,2004,0.7,1.0
NL,2005,1.4,2.8
NL,2006,3.1,3.5
NL,2007,4.1,3.9
NL,2008,4.6,1.5
NL,2009,0.3,0.7
NL,2010,0.4,1.3
NL,2011,1.9,2.1
NL,2012,2.3,1.1
NL,2013,0.2,0.6
NL,2014,0.8,1.3
NL,2015,1.4,2.0
NL,2016,1.6,2.1
NL,2017,2.1,2.3
NL,2018,2.6,1.4
NL,2019,2.9,3.3
NL,2020,2.1,3.6
NL,2021,4.5,3.6
NL,2022,9.1,2.1
NL,2023,5.8,3.4
NO,2002,3.3,2.8
NO,2003,3.2,2.8
NO,2004,2.9,3.4
NO,2005,3.5,3.8
NO,2006,3.8,5.9
NO,2007,7.3,5.4
